file,doc_class,pages,sheet_mm,text_layer,bytes
370-009-MAJ-62-ZZ-DR-E-001 P05 MAIN LV SCHEMATICS.pdf,cu_chart,1,841x594,yes,1040679
370-009-MAJ-62-ZZ-DR-E-001 P07 MAIN LV SCHEMATICS[6].pdf,cu_chart,1,841x594,yes,1071330
Broomfield House - Circuit Charts.pdf,cu_chart,32,210x297,yes,447374
CU Schedules (P02).pdf,cu_chart,116,297x210,yes,1519683
DUN-RYB-XX-XX-SP-E-61002 - Apt Consumer Unit.pdf,cu_chart,5,210x297,yes,396694
DUN-RYB-XX-XX-SP-E-61002 CU Circuit Chart.pdf,cu_chart,5,210x297,yes,400717
SLD-CONSUMER UNIT FOR REVIT NEW-Layout1 (004).pdf,cu_chart,1,210x297,yes,103371
06. Electrical Specification.pdf,db_schedule,64,210x297,yes,621523
114026-NPS-Z1-DR-E-6003_A3 Electrical Services IndicativeLayout C1-Apartment Type 1.pdf,db_schedule,1,841x594,yes,344885
114026-NPS-Z1-DR-E-6004_A3 Electrical Services IndicativeLayout C1-Apartment Type 2.pdf,db_schedule,1,841x594,yes,370062
114026-NPS-Z1-DR-E-6005_A3 Electrical Services IndicativeLayout C1-Apartment Type 3.pdf,db_schedule,1,841x594,yes,348054
114026-NPS-Z1-DR-E-6006_A3 Electrical Services IndicativeLayout C1-Apartment Type 4.pdf,db_schedule,1,841x594,yes,382529
114026-NPS-Z1-DR-E-6007_A3 Electrical Services IndicativeLayout C1-Apartment Type 5.pdf,db_schedule,1,841x594,yes,353077
114026-NPS-Z1-DR-E-6008_A3 Electrical Services IndicativeLayout C1-Apartment Type 6.pdf,db_schedule,1,841x594,yes,370685
114026-NPS-Z1-DR-E-6009_A3 Electrical Services IndicativeLayout C1-Apartment Type 7.pdf,db_schedule,1,841x594,yes,352619
2425.009.E12 - Clubhouse Distribution Schematic.pdf,db_schedule,1,594x841,yes,201617
2429-SGL-V1-XX-DR-E-1002-(P1) - Proposed LV Schematics Sheet2 of 2.pdf,db_schedule,1,841x594,yes,162524
250405-GG-XX-XX-SC-E-2000-P01 LV Schematic.pdf,db_schedule,1,841x1189,yes,1034892
25057-RC-XX-XX-SH-E-00001 - Distribution Board Schedules - REV C02.pdf,db_schedule,13,210x297,yes,624533
25057-RC-XX-XX-SH-E-00001 - Distribution Board Schedules - Rev C03 (002).pdf,db_schedule,13,210x297,yes,616477
260346-SJD-XX-XX-SC-E-1000-P6 Low Voltage Schematic.pdf,db_schedule,1,841x1189,yes,1483707
260346-SJD-XX-ZZ-DR-E-8000-P1 Typical Room Types (002).pdf,db_schedule,1,841x1189,yes,2971021
6997-A10-XX-XX-SC-E-60-01-P01.pdf,db_schedule,1,841x1189,yes,239721
BC250847 E15 - Distribution.pdf,db_schedule,1,841x594,yes,634051
C056-BBK-XX-ZZZZ-S-E-4101-LV Electrical Schematic (4) (003).pdf,db_schedule,1,841x1189,yes,425502
C056-BBK-XX-ZZZZ-S-E-4101-LV Electrical Schematic (4).pdf,db_schedule,1,841x1189,yes,300244
C056-BBK-XX-ZZZZ-S-E-4101.pdf,db_schedule,1,841x1189,yes,320141
DB C Comms Rev C1.pdf,db_schedule,1,297x210,yes,314633
DB EVC Electric Vehicle Charging Rev C1.pdf,db_schedule,1,297x210,yes,312802
DB EXT External Services Rev C1.pdf,db_schedule,3,297x210,yes,335995
DB K Kitchen Rev C1.pdf,db_schedule,11,297x210,yes,461918
DB L Laundry Rev C1.pdf,db_schedule,3,297x210,yes,335117
DB LL FF C1 Rev C1.pdf,db_schedule,4,297x210,yes,346014
DB LL FF C2 Rev C1.pdf,db_schedule,4,297x210,yes,349967
DB LL FF C3 Rev C1.pdf,db_schedule,3,297x210,yes,338461
DB LL GF C1 Rev C1.pdf,db_schedule,12,297x210,yes,460156
DB LL GF C2 Rev C1.pdf,db_schedule,4,297x210,yes,350986
DB LL GF C3 Rev C1.pdf,db_schedule,3,297x210,yes,342257
DB LL SF C1 Rev C1.pdf,db_schedule,3,297x210,yes,336786
DB LL SF C2 Rev C1.pdf,db_schedule,4,297x210,yes,346930
DB PL Plantroom Rev C1.pdf,db_schedule,1,297x210,yes,317154
DB Schedule 20260205 E2-B1-DB-KIT.pdf,db_schedule,2,297x420,yes,170870
DB Schedule 20260205 E2-GF-DB-KIT.pdf,db_schedule,1,297x420,yes,163089
DB Schedule 20260420 G1-05-DB-LL.pdf,db_schedule,2,251x325,yes,174545
DB Schedule 20260420 G1-GF-DB-LL.pdf,db_schedule,2,251x325,yes,176719
DB Schedule 20260420 G2-05-DB-LL.pdf,db_schedule,2,251x325,yes,174708
DB Schedule 20260420 G2-GF-DB-LL.pdf,db_schedule,2,251x325,yes,181349
DB Schedule 20260420 G3-05-DB-LL.pdf,db_schedule,2,251x325,yes,178621
DB Schedule 20260420 G3-GF-DB-LL.pdf,db_schedule,2,251x325,yes,180167
DB Schedule 20260420 G4-05-DB-LL.pdf,db_schedule,2,251x325,yes,170818
DB Schedule 20260420 G4-GF-DB-LL.pdf,db_schedule,2,251x325,yes,177424
DB Schedules (P02).pdf,db_schedule,54,297x210,yes,888752
DB Schedules - Main house & Flats.pdf,db_schedule,13,420x297,yes,1048215
DBs with devices for Ben - DO NOT ISSUE TO 4p. P02 (002).pdf,db_schedule,70,297x210,yes,993948
DBs with devices for Ben - DO NOT ISSUE TO 4p. P02.pdf,db_schedule,70,297x210,yes,983762
DUN-RYB-XX-XX-SH-E-61001 DB Schedule.pdf,db_schedule,18,210x297,yes,949202
EPO Circuitry mark up.pdf,db_schedule,9,210x297,yes,178756
Electrical and ICT Services Schedule of Electrical Plant and Equipment #U00d4#U00c7#U00f4 MCB Distribution Boards.pdf,db_schedule,32,210x297,yes,1377985
Example of what i do with the electrical documents  during Quoting process/Project ASHFIELD SCHOOL/info/EPO Circuitry mark up.pdf,db_schedule,9,210x297,yes,224274
Example of what i do with the electrical documents  during Quoting process/Project ASHFIELD SCHOOL/info/SRP1053-BMD-ZZ-ZZ-T-E-6858-Schedule No 11 Distribution Boards (3).pdf,db_schedule,77,210x297,yes,306709
Example of what i do with the electrical documents  during Quoting process/Project South Stand/info/rev2/2425.009.E12 - Clubhouse Distribution Schematic.pdf,db_schedule,1,594x841,yes,201617
Guernsey DB Schedule.pdf,db_schedule,177,210x297,yes,11189413
Guernsey Report 05-05-26 (002).pdf,db_schedule,51,210x297,yes,4690821
Guernsey Report 05-05-26 rev 2.pdf,db_schedule,49,210x297,yes,4444775
Guernsey Report 05-05-26.pdf,db_schedule,51,210x297,yes,4640896
IVTW-SVM-ZZ-XX-SH-E-0051 (ASHP) (1).pdf,db_schedule,294,216x279,yes,3254663
KFH-QRL-BA-XX-DR-E-0508 (002).pdf,db_schedule,1,235x267,yes,2278795
KFH-QRL-BA-XX-SH-E-5001 (003).pdf,db_schedule,413,210x297,yes,14514538
KFH-QRL-BA-XX-SH-E-5001.pdf,db_schedule,413,210x297,yes,14528421
SRP1024-BMD-ZZ-XX-SH-E-4857- C05 Distrubtion Board Schedule No.11 _.pdf,db_schedule,51,210x297,yes,841945
